ID,SEX,Distance_flown,distance_walked,resting_time,walking_velocity,free_fall,death_feigning,body_righting,intra_interaction,inter_interaction,Wingbeat,Dead
462,F,0.3527,204.4,358,0.571,3,0,2.48,4.39,0,23,7
463,F,1.018,273.1,392.3,0.696,6,18.91,0.44,1.36,0.09,6,5
464,F,0.999,191.1,332.4,0.575,3,17.44,1.13,0.5,2.06,15,4
465,F,0.906,147.9,218.2,0.678,6,1.26,1.26,5.02,8.52,21,6
466,F,0.729,169.8,285.7,0.594,9,6.72,0.74,0,0,1,10
467,F,0.779,265.3,393.4,0.674,6,4.2,1.83,0,0,23,5
468,F,0.881,411.5,477.2,0.862,22,0,1.44,0,0,47,5
469,F,0.982,278.3,417.4,0.667,18,0,0.86,0,8.3,24,6
470,F,0.824,322.7,466.6,0.692,6,0,1.3,13.26,0,0,24
471,F,0.576,271.4,403.9,0.672,9,2.46,1.15,8.33,2.24,3,3
472,F,0.618,318.8,477.1,0.668,6,1.65,3.79,0,7.29,9,12
473,F,0.896,242.7,405.4,0.599,6,4.09,1.43,0,0.15,7,6
474,F,0.556,284.1,390.4,0.728,6,0.71,1.23,0.48,11.53,0,12
475,F,0.592,324.7,432.3,0.751,6,28.99,1.5,10.3,9.01,22,5
476,F,1.111,336.2,469.1,0.717,6,6.61,3.65,14.1,5.38,0,12
477,F,0.587,297.5,421.4,0.706,22,0.55,0.86,0.7,0,26,4
478,F,0.589,332.2,461.2,0.72,6,0,1.78,5.02,0,0,10
479,F,0.471,226.9,336.7,0.674,6,3.46,2.16,5.12,8.44,0,11
480,F,0.331,266.8,405.3,0.658,6,27.28,2.19,0,0,9,48
481,F,0.608,365.4,493.5,0.74,6,34.16,4.58,6.54,8.4,0,8
482,F,0.539,237,402.1,0.589,6,10.66,0.97,5.14,0,20,16
483,F,0.516,288.3,451.1,0.639,6,3.29,1.1,0,0,11,11
484,F,1.538,284.5,408.6,0.696,3,68.04,2.94,6.22,0,5,20
485,F,1.343,275.8,391.4,0.705,6,50.22,0.74,17.22,0,23,9
486,F,1.334,371.2,477.1,0.778,6,14.92,0.92,0,0,2,NA
487,F,0.586,382,559.8,0.682,6,12.12,3.52,8.04,5.4,0,32
488,F,0.536,318.7,453.5,0.703,6,2.33,9.1,0,0,0,28
489,F,0.317,183.2,308.8,0.593,9,4.23,1.85,0,0,4,16
490,F,0.748,409.9,506.4,0.809,6,14.84,3.98,0,0,6,NA
491,F,1.597,249.7,396.1,0.63,6,0,0.72,7.35,0.47,8,4
492,F,2.06,272,423.2,0.643,6,0,0.9,0,0,0,11
493,F,0.969,337.5,465.1,0.726,6,6.75,3.13,6.31,0,1,64
494,F,2.712,335.6,465.9,0.72,6,87.77,5.71,2.14,12.25,4,NA
495,F,5.169,266.5,425.1,0.627,6,8.14,1.17,0,11.2,0,24
496,F,1.034,393.6,475,0.829,6,8.19,1.2,1.5,0.21,8,80
497,F,1.286,272.6,392.4,0.695,6,10.47,2.46,0,0.54,3,68
498,F,0.833,407.4,563.7,0.723,6,0.79,1.42,0.45,0,2,48
499,F,1.459,258.1,410.5,0.629,6,4.56,3.3,0,0,14,196
500,F,1.313,129,219.1,0.589,6,1.65,4.57,0,0,9,68
501,F,1.079,341.7,534.5,0.639,6,3.87,1.67,6.59,0,3,NA
502,F,1.199,247.5,411.4,0.602,6,0,0.9,2.35,0,32,76
503,F,1.024,195.4,344.9,0.567,6,5.92,0.85,0,0,0,7
504,F,0.368,221.8,362.8,0.611,6,2.74,1.12,0,0,4,6
505,F,0.971,357.6,487,0.73,6,6.96,0.86,7.51,10.03,6,NA
506,F,1.273,251.8,395.7,0.64,15,19.68,0.56,12.11,7.12,6,32
507,F,0.746,296.2,434.8,0.68,9,14.89,0.88,4.3,0,3,NA
508,F,0.934,350.6,464.8,0.75,6,2.7,0.44,6.37,0.09,5,80
509,F,0.83,331.7,469.2,0.71,6,9,2.61,0,11.16,3,NA
510,F,0.516,280.7,414,0.68,3,0,0.81,7.5,5.56,29,176
511,F,0.544,308.4,460.8,0.67,6,8.94,0.43,6.04,0,7,140
512,F,0.743,324.6,475,0.68,6,5.89,2.11,3.24,0.1,4,NA
513,F,0.471,217.3,341.2,0.64,6,0.94,0.97,0,0,3,40
514,F,0.213,329.8,439.8,0.75,6,6.64,0.39,0.13,4.51,14,32
515,F,0.546,235.3,375.5,0.63,6,25.97,2.61,0,1.49,14,NA
516,F,1.053,290.9,421.3,0.69,12,18.36,2.69,0,3,7,24
517,F,0.902,308.2,484.7,0.64,9,8.16,1.11,3.53,0.16,10,NA
518,F,1.656,229.7,374,0.61,3,0,1.74,15,0,6,152
519,F,0.63,234.8,380.8,0.62,6,25.72,1.16,0,0,4,24
520,F,0.778,256.6,425.7,0.6,6,16.82,1.31,4.48,0.29,1,32
521,F,0.677,241.5,371.5,0.65,6,0.79,0.48,0.33,0,2,76
522,F,0.912,309.5,463.4,0.67,3,24.06,1.23,4.43,2.28,5,116
523,F,0.476,191,350.5,0.54,6,6.53,1.73,15,3.42,0,NA
524,F,0.382,263.1,448.3,0.59,6,16.47,0.73,9.25,0,5,52
525,F,0.143,302.8,438.1,0.69,6,29.57,1.24,2.37,0,9,48
526,F,0.835,346.9,476.6,0.728,3,4.92,1.55,0,0,0,NA
527,F,1.267,442.9,549.1,0.807,6,6.55,1.14,7.12,3.42,19,100
528,F,1.32,346.6,497.1,0.697,6,1.4,0.66,0.4,0,9,10
529,F,1.005,366.2,448.9,0.816,3,8.83,1.52,11.49,0.05,0,NA
530,F,1.558,347.2,459.4,0.756,6,5.22,1.62,11.09,0,40,NA
531,F,0.976,342.8,435,0.788,6,4.34,2.47,0.07,3.3,3,11
532,F,0.963,285.2,434.7,0.656,6,3.29,0.51,0,0,16,80
533,F,0.948,357.8,451,0.793,9,0,0.85,7.28,4.1,16,72
534,F,0.889,391.8,493.1,0.795,6,15.99,3.64,0,4.09,5,NA
535,F,0.808,320.9,474.7,0.676,6,2.12,1.12,2.08,3.54,23,7
536,F,0.802,348.3,466.9,0.746,6,13.94,0.88,5.16,5.39,8,NA
537,F,0.805,331.6,416.1,0.797,22,38.43,3.08,0,10.5,12,NA
538,F,1.021,283.1,431.6,0.656,12,2.12,2.31,7.33,11.18,13,NA
539,F,1.084,376.6,499.7,0.754,6,8.16,1.92,14,0,10,NA
540,F,0.672,375.4,483.6,0.776,9,10.13,1.64,4.53,1.17,3,5
541,F,0.922,361.8,464.3,0.779,6,26.2,3.86,10.11,2.42,0,NA
542,F,1.032,288.4,422.5,0.683,22,138.13,2.69,5.2,2.12,4,NA
543,F,1.065,392.9,477.9,0.822,9,49.85,2.1,11.05,12.31,3,80
544,F,0.622,267.8,410.1,0.653,6,1.15,1.44,13.43,0,20,56
