PIT_ID,Predated by cormorant (Yes/No),Time to emerge (s),Boldness score,length,Year
0000000009DCE2C1,0,1200,0,161,2010
0000000009DCE2C2,0,1200,0,164,2010
0000000009DCE2C3,0,637,0.469166667,135,2010
0000000009DCE2C4,0,1200,0,140,2010
0000000009DCE2C5,0,1200,0,144,2010
0000000009DCE2C7,0,1200,0,153,2010
0000000009DCE2C8,0,1200,0,143,2010
0000000009DCE2C9,0,1200,0,153,2010
0000000009DCE2CA,0,509,0.575833333,147,2010
0000000009DCE2CB,0,1200,0,131,2010
0000000009DCE2CC,0,218,0.818333333,129,2010
0000000009DCE2CD,0,1200,0,150,2010
0000000009DCE2CE,0,541,0.549166667,140,2010
0000000009DCE2CF,0,1200,0,156,2010
0000000009DCE2D0,0,1200,0,133,2010
0000000009DCE2D1,0,1200,0,138,2010
0000000009DCE2D2,0,1200,0,144,2010
0000000009DCE2D3,0,1200,0,150,2010
0000000009DCE2D4,0,216,0.82,136,2010
0000000009DCE2D5,0,1200,0,141,2010
0000000009DCE2D7,0,1200,0,154,2010
0000000009DCE2D9,0,1200,0,135,2010
0000000009DCE2DA,0,1200,0,146,2010
0000000009DCE2DB,0,1200,0,145,2010
0000000009DCE2DC,0,1200,0,136,2010
0000000009DCE2DD,0,237,0.8025,142,2010
0000000009DCE2DE,0,1200,0,138,2010
0000000009DCE2E0,0,720,0.4,135,2010
0000000009DCE2E1,0,57,0.9525,136,2010
0000000009DCE2E2,0,1200,0,150,2010
0000000009DCE2E3,0,121,0.899166667,158,2010
0000000009DCE2E5,0,1200,0,154,2010
0000000009DCE2E6,0,1200,0,209,2010
0000000009DCE2E9,0,108,0.91,153,2010
0000000009DCE2EB,0,582,0.515,149,2010
