mating,treatment,total.l.c,fore.w.c,coef.activity,slope.activity.nbmales.c,coef.agg,nbmales.c,nbfemales.c,ham,id_exp,stream,date,timestep,total.l.c.z,fore.w.c.z,coef.activity.z,slope.activity.nbmales.c.z,coef.agg.z,nbmales.c.z,nbfemales.c.z
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,-1.912573674,-0.173870334,NO,5,1,4/30/2011,30,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,-0.940231534,-0.374202217
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,1.087426326,-0.173870334,NO,5,1,4/26/2011,3,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,0.534584647,-0.374202217
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,-1.912573674,-0.173870334,NO,5,1,4/30/2011,34,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,-0.940231534,-0.374202217
0,0,-0.221057466,0.012452603,-0.168902163,0.012894274,-0.180272989,-1.912573674,0.826129666,NO,6,1,4/30/2011,33,-0.26997392,0.192993427,-0.23576875,0.273841231,-0.84363973,-0.940231534,1.777989064
0,0,-0.221057466,0.012452603,-0.168902163,0.012894274,-0.180272989,-1.912573674,-0.173870334,NO,6,1,4/30/2011,30,-0.26997392,0.192993427,-0.23576875,0.273841231,-0.84363973,-0.940231534,-0.374202217
0,0,-0.221057466,0.012452603,-0.168902163,0.012894274,-0.180272989,1.087426326,-0.173870334,NO,6,1,5/01/2011,38,-0.26997392,0.192993427,-0.23576875,0.273841231,-0.84363973,0.534584647,-0.374202217
0,0,-0.221057466,0.012452603,-0.168902163,0.012894274,-0.180272989,5.087426326,-0.173870334,NO,6,1,4/26/2011,4,-0.26997392,0.192993427,-0.23576875,0.273841231,-0.84363973,2.501006222,-0.374202217
0,0,-0.221057466,0.012452603,-0.168902163,0.012894274,-0.180272989,-0.912573674,-0.173870334,NO,6,1,4/30/2011,31,-0.26997392,0.192993427,-0.23576875,0.273841231,-0.84363973,-0.44862614,-0.374202217
0,0,-0.221057466,0.012452603,-0.168902163,0.012894274,-0.180272989,4.087426326,-0.173870334,NO,6,1,5/01/2011,39,-0.26997392,0.192993427,-0.23576875,0.273841231,-0.84363973,2.009400828,-0.374202217
1,0,-0.221057466,0.012452603,-0.168902163,0.012894274,-0.180272989,-0.912573674,-0.173870334,NO,6,1,4/30/2011,34,-0.26997392,0.192993427,-0.23576875,0.273841231,-0.84363973,-0.44862614,-0.374202217
1,1,0.801942534,0.061452603,0.888138802,-0.04001762,-0.104288751,-0.912573674,-0.173870334,NO,7,1,4/28/2011,14,0.979399492,0.952407165,1.167056068,-0.939245061,-0.472899723,-0.44862614,-0.374202217
0,1,0.801942534,0.061452603,0.888138802,-0.04001762,-0.104288751,-0.912573674,-0.173870334,NO,7,1,5/01/2011,41,0.979399492,0.952407165,1.167056068,-0.939245061,-0.472899723,-0.44862614,-0.374202217
1,1,0.801942534,0.061452603,0.888138802,-0.04001762,-0.104288751,5.087426326,-0.173870334,NO,7,1,4/26/2011,4,0.979399492,0.952407165,1.167056068,-0.939245061,-0.472899723,2.501006222,-0.374202217
0,0,0.801942534,0.061452603,0.888138802,-0.04001762,-0.104288751,-0.912573674,-0.173870334,NO,7,1,5/01/2011,43,0.979399492,0.952407165,1.167056068,-0.939245061,-0.472899723,-0.44862614,-0.374202217
0,1,0.801942534,0.061452603,0.888138802,-0.04001762,-0.104288751,4.087426326,-0.173870334,NO,7,1,4/28/2011,18,0.979399492,0.952407165,1.167056068,-0.939245061,-0.472899723,2.009400828,-0.374202217
1,1,0.801942534,0.061452603,0.888138802,-0.04001762,-0.104288751,5.087426326,-0.173870334,NO,7,1,4/28/2011,19,0.979399492,0.952407165,1.167056068,-0.939245061,-0.472899723,2.501006222,-0.374202217
0,0,0.801942534,0.061452603,0.888138802,-0.04001762,-0.104288751,-0.912573674,-0.173870334,NO,7,1,5/01/2011,40,0.979399492,0.952407165,1.167056068,-0.939245061,-0.472899723,-0.44862614,-0.374202217
0,1,0.801942534,0.061452603,0.888138802,-0.04001762,-0.104288751,-0.912573674,-0.173870334,NO,7,1,4/30/2011,35,0.979399492,0.952407165,1.167056068,-0.939245061,-0.472899723,-0.44862614,-0.374202217
0,0,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,-0.912573674,-0.173870334,NO,8,1,4/29/2011,24,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,-0.44862614,-0.374202217
0,0,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,5.087426326,-0.173870334,NO,8,1,4/30/2011,35,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,2.501006222,-0.374202217
0,0,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,5.087426326,-0.173870334,NO,8,1,4/26/2011,4,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,2.501006222,-0.374202217
0,1,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,2.087426326,-0.173870334,YES,8,1,5/01/2011,42,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,1.026190041,-0.374202217
0,0,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,5.087426326,-0.173870334,NO,8,1,4/29/2011,26,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,2.501006222,-0.374202217
0,1,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,3.087426326,-0.173870334,NO,8,1,4/29/2011,27,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,1.517795434,-0.374202217
0,0,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,0.087426326,-0.173870334,NO,8,1,4/29/2011,28,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,0.042979254,-0.374202217
