indiv,pack,litter.daten,bs.freq,bs.sess
DM138,11,41115,3,9
DM168,11,41115,1,9
DM179,11,41115,0,9
DM054,11,41188,1,23
DM138,11,41188,2,23
DM165,11,41188,3,23
DM168,11,41188,1,23
DM165,11,41256,1,4
DM168,11,41256,0,4
DM168,11,41380,1,14
DM179,11,41380,2,14
DM180,11,41380,1,14
FM014,4B,38286,9,29
FM068,4B,38639,4,46
FM072,4B,38639,1,46
FM014,4B,38714,5,23
FM068,4B,38714,0,23
FM072,4B,38714,1,23
FM014,4B,38820,0,2
FM068,4B,38820,0,2
FM072,4B,38820,0,2
FM014,4B,38839,4,35
FM068,4B,38839,1,35
FM072,4B,38839,3,35
FM068,4B,38911,0,7
FM072,4B,38911,0,7
FM079,4B,38911,0,7
FM080,4B,38911,0,7
FM081,4B,38911,0,7
FM083,4B,38911,0,7
FM084,4B,38911,1,7
FM087,4B,38911,1,7
FM088,4B,38911,0,7
FM068,4B,38987,0,35
FM072,4B,38987,2,35
FM079,4B,38987,7,35
FM080,4B,38987,0,35
FM081,4B,38987,3,35
FM083,4B,38987,1,35
FM084,4B,38987,2,35
FM087,4B,38987,0,35
FM088,4B,38987,0,35
FM100,4B,39228,2,15
FM102,4B,39228,0,15
FM105,4B,39228,0,15
FM100,4B,39280,0,7
FM102,4B,39280,0,7
FM105,4B,39280,1,7
FM100,4B,39312,0,4
FM102,4B,39312,0,4
FM105,4B,39312,0,4
FM100,4B,39376,2,28
FM102,4B,39376,0,28
FM105,4B,39376,2,28
FM100,4B,39456,0,23
FM102,4B,39456,2,23
FM105,4B,39456,2,23
FM102,4B,39587,1,25
FM105,4B,39587,5,25
FM102,4B,39661,0,3
FM105,4B,39661,0,3
FM102,4B,39736,1,22
FM105,4B,39736,5,22
FM132,4B,39736,1,22
FM102,4B,39988,0,19
FM105,4B,39988,1,19
FM132,4B,39988,2,19
FM142,4B,39988,2,19
FM132,4B,40120,1,6
FM142,4B,40120,2,6
FM132,4B,40188,3,20
FM142,4B,40188,2,20
FM132,4B,40280,0,21
FM142,4B,40280,1,21
FM132,4B,40350,2,20
FM142,4B,40350,2,20
FM150,4B,40350,8,20
FM188,4B,41388,1,6
FM191,4B,41388,1,6
BJ,1H,37993,1,30
BT,1H,37993,0,30
HM002,1H,37993,0,30
HM005,1H,37993,1,30
HM009,1H,37993,4,30
HM013,1H,37993,4,30
BJ,1H,38101,1,30
BT,1H,38101,2,30
HM002,1H,38101,2,30
HM009,1H,38101,0,30
BT,1H,38172,0,19
