Bird_ID,Migratory_Strategy,Ringing_Age,Sex,Year,Breed_Success,Hatch_Date
386,1,A,0,2,3,39
386,1,A,0,3,3,29
387,1,P,1,3,1,61
388,1,P,0,3,1,57
389,0,P,0,3,1,61
390,0,P,NA,3,3,53
391,1,A,0,2,3,33
392,1,A,0,1,2,56
392,1,A,0,2,1,53
392,1,A,0,3,1,55
393,0,A,0,2,3,NA
393,0,A,0,3,1,34
394,1,P,0,3,0,NA
395,1,P,1,3,2,69
396,0,A,0,2,3,39
396,0,A,0,3,3,33
397,1,A,0,1,1,57
397,0,A,0,3,3,44
398,0,P,1,3,1,58
399,0,A,1,2,2,41
400,1,A,0,3,1,48
401,0,A,0,2,2,49
401,0,A,0,3,1,87
402,0,A,1,2,2,36
402,0,A,1,3,1,31
403,0,A,1,2,2,42
403,0,A,1,3,1,48
404,0,A,0,2,2,46
404,0,A,0,3,1,40
405,1,S,1,2,0,NA
405,1,S,1,3,1,65
406,0,A,0,2,2,37
406,0,A,0,3,2,31
407,0,A,0,2,3,38
407,0,A,0,3,1,36
408,0,A,0,2,3,41
409,1,S,1,3,2,53
410,0,A,1,2,4,39
411,1,A,1,2,3,42
412,0,A,1,3,2,50
413,1,A,1,3,0,NA
414,0,A,0,3,1,66
415,0,A,1,2,0,NA
416,0,P,0,2,3,44
417,0,P,0,2,3,29
417,1,P,0,3,3,31
418,1,A,0,2,3,39
419,1,A,1,2,2,51
420,1,A,0,2,1,42
420,1,A,0,3,0,NA
421,0,A,0,2,2,39
422,0,S,NA,2,1,56
423,0,A,0,3,2,52
424,0,A,0,3,2,51
425,0,A,0,3,2,33
426,1,A,0,3,1,56
427,0,A,0,3,3,28
428,0,A,0,3,2,22
429,0,A,1,3,2,39
430,0,A,0,3,0,50
431,1,A,0,3,2,61
432,0,A,0,3,3,33
433,0,A,0,3,2,44
434,0,A,1,3,3,33
435,1,A,0,3,0,NA
436,1,A,0,3,0,NA
437,1,A,0,3,2,53
438,0,A,0,3,2,43
439,1,A,1,3,1,48
