Bird,Season,Lsrate,Wwrate,Ssrate,Signaling PCA1,Flight,TimeW5,Closest,Aggression PCA1,switchrate,number of types,type matches,survivedTo2014,Residuals,Lsrate_t,Wwrate_t,Ssrate_t,Flight_t
mjiy    ,janTen  ,0,0,0,-1.01805,1.78,0.96,1.5,0.74425,.,0,0,1,88,0,0,0,107
mjiy    ,mayTen  ,1.17,0,0,-0.10211,0.39,0,12,-1.15478,0.18,3,0,1,89,70,0,0,23
mjiy    ,octNine ,0.1,0,0,-0.77651,1,0.13,2,-0.36847,.,1,1,1,90,6,0,0,60
mjiy    ,septNine,1.91,0,0,-0.16057,1.1,0,8,-0.81422,0.06,2,1,1,91,115,0,0,66
moss    ,FebTen  ,1.66,1.14,0.94,0.16693,4.27,0.42,3,0.50277,0.04,2,2,1,92,100,68,56,256
mwhw    ,FebTen  ,2.32,0,0,-0.06987,1.16,0,7,-0.75131,0.2,2,1,1,93,139,0,0,70
mwhw    ,janTen  ,3.97,0,0.85,0.67895,2.55,0.91,1,0.85297,0.04,3,1,1,94,238,0,51,153
mwhw    ,octNine ,0.11,0,4.43,0.32031,0.63,0.98,0,0.63628,0.02,2,1,1,95,7,0,266,38
mwhw    ,septNine,0.11,0,1.09,-0.33843,0.44,0.4,1,-0.11166,0.1,2,1,1,96,7,0,65,26
mxog    ,FebTen  ,4.28,5.67,1.79,2.7792,5.07,0.84,0,1.28566,0.1,7,1,1,97,257,340,107,304
mxog    ,octNine ,0,1.91,5.36,1.24749,6.03,1,0,1.64197,0.05,4,1,1,98,0,115,322,362
mxog    ,septNine,0.17,4.11,5.11,1.82844,4.78,1,0,1.41359,0.06,5,2,1,99,10,247,307,287
mybw    ,FebTen  ,0,0,0,-1.01805,0.22,0,7,-0.9224,.,0,0,1,100,0,0,0,13
mybw    ,mayTen  ,0.6,0,0.6,-0.32664,1.71,0,6,-0.59786,0.09,2,2,1,101,36,0,36,103
mybw    ,octNine ,0,0,0,-1.01805,0.59,0.12,4,-0.56078,.,0,0,1,102,0,0,0,35
mybw    ,septNine,0,0,0,-1.01805,1.34,0.09,3,-0.40593,.,0,0,1,103,0,0,0,80
myca    ,FebTen  ,1.84,0.33,0.65,0.44922,2.82,0.62,1,0.57259,0.14,4,0,1,104,110,20,39,169
myca    ,janTen  ,2.24,0.88,2.05,1.12689,5.07,0.55,0.5,0.92905,0.09,5,2,1,105,134,53,123,304
myca    ,mayTen  ,3.9,0,0.1,0.73456,3.1,0.98,1,1.03213,0.08,4,2,1,106,234,0,6,186
obam    ,FebTen  ,0.38,0,0,-0.71559,2.27,0.47,4,0.14309,0,1,0,1,107,23,0,0,136
obam    ,janTen  ,0.11,0.11,0.95,-0.35022,1.69,0.02,3,-0.42199,0.11,2,1,1,108,7,7,57,101
obam    ,mayTen  ,2.42,0,0,0.17102,1.11,0,6,-0.7081,0.09,3,1,1,109,145,0,0,67
obam    ,octNine ,0.58,0,0.23,-0.62513,2.67,0.56,2,0.42433,0,1,1,1,110,35,0,14,160
obam    ,septNine,0.59,0,1.47,0.28098,2.95,0.71,0,0.75061,0.15,4,1,1,111,35,0,88,177
ooam    ,FebTen  ,6.5,1.97,0.99,1.59821,8.47,0.05,1,0.95283,0.05,3,0,1,112,390,118,59,508
ooam    ,janTen  ,1.96,0.47,0.75,0.73795,4.02,0.41,1.5,0.52542,0.14,5,2,1,113,118,28,45,241
ooam    ,mayTen  ,3.24,4.1,0.11,1.29207,3.24,0.05,3,-0.1052,0.1,4,1,1,114,194,246,7,194
ooam    ,septNine,1.17,0.33,2.17,0.38352,0.5,0.71,2,0.1998,0.05,3,2,1,115,70,20,130,30
ormc    ,mayTen  ,0.59,0,0,-0.66959,0.35,0.05,5,-0.73608,0,1,1,1,116,35,0,0,21
ormc    ,octNine ,0,0,0,-1.01805,0.44,0.15,1,-0.39615,.,0,0,1,117,0,0,0,26
pagm    ,octNine ,0,0,0,-1.01805,0.32,0,30,-2.11583,.,0,0,1,118,0,0,0,19
pcms    ,FebTen  ,0.32,0,0.64,-0.16199,6.53,0.9,0,1.61872,0.25,3,1,1,119,19,0,38,392
pcms    ,octNine ,3.01,0.2,2.4,1.02964,5.61,0.97,1,1.47861,0.06,4,2,1,120,181,12,144,337
pozm    ,FebTen  ,0.95,0.14,3.25,0.73314,4.73,0.87,0,1.25784,0.1,4,2,1,121,57,8,195,284
pozm    ,janTen  ,3.16,1.22,0.51,0.86267,2.55,0.76,0,0.73467,0.09,4,0,1,122,190,73,31,153
pozm    ,octNine ,3.13,7.16,2.63,2.50853,4.94,0.88,0,1.30642,0.06,5,2,1,123,188,430,158,296
pozm    ,septNine,5.18,1.07,0,1.17964,3.52,0.66,1,0.74475,0.06,4,1,1,124,311,64,0,211
romi    ,janTen  ,0,0,0,-1.01805,0.55,0.2,5,-0.53036,.,0,0,1,125,0,0,0,33
romi    ,septNine,0,0,0,-1.01805,4.52,0.8,1,1.08572,.,0,0,1,126,0,0,0,271
saom    ,FebTen  ,2.26,3.23,1.83,1.04871,2.9,0.98,0,1.04994,0.05,3,2,1,127,136,194,110,174
saom    ,janTen  ,2.79,3.65,3.98,1.44416,4.62,0.39,1,0.63854,0.02,2,1,1,128,167,219,239,277
saom    ,mayTen  ,5.81,7.13,0,2.13153,6.93,0.92,1,1.66149,0.04,3,1,1,129,349,428,0,416
saom    ,octNine ,1.14,5.8,4.45,1.75959,5.69,0.86,0,1.42092,0.04,3,2,1,130,68,348,267,341
saom    ,septNine,2.84,6.04,2.71,1.61016,3.82,0.52,1,0.64085,0.02,2,2,1,131,170,362,163,229
shmo    ,FebTen  ,3.45,1.95,0.92,1.13177,4.25,0.84,0,1.13599,0.08,4,1,1,132,207,117,55,255
shmo    ,janTen  ,0.61,5.39,2.03,1.75458,5.8,0.98,0.5,1.5499,0.2,6,0,1,133,37,323,122,348
shmo    ,mayTen  ,2.85,3.84,1.18,1.81274,8.06,0.9,1,1.84564,0.13,6,1,1,134,171,230,71,484
shmo    ,octNine ,0.71,3.03,1.82,1.32989,2.83,1,0,1.05828,0.21,6,1,1,135,43,182,109,170
shmo    ,septNine,2.36,1.23,0.72,1.38873,4,1,0,1.27254,0.21,7,2,1,136,142,74,43,240
sism    ,FebTen  ,0,0,0,-1.01805,1.57,0.02,1,-0.33818,.,0,0,1,137,0,0,0,94
sism    ,janTen  ,0.11,0,0,-0.77463,1.42,0.1,1,-0.27476,.,1,1,1,138,7,0,0,85
sism    ,octNine ,0,0,0,-1.01805,0.42,0.36,3,-0.26609,.,0,0,1,139,0,0,0,25
sism    ,septNine,0,0,0,-1.01805,0.45,0.25,2,-0.33195,.,0,0,1,140,0,0,0,27
smac    ,FebTen  ,4.14,0.5,0.71,0.99462,4.24,0.87,0,1.16818,0.06,4,2,1,141,248,30,43,254
smac    ,janTen  ,0.6,0,0.12,-0.42491,2.98,0.17,2,0.03595,0.2,2,1,1,142,36,0,7,179
smac    ,mayTen  ,0.29,0,0.1,-0.71467,8.52,0.98,1,2.01992,0,1,0,1,143,17,0,6,511
smac    ,octNine ,0.96,0,0.64,0.19692,2.88,0.42,1,0.35514,0.21,4,1,1,144,58,0,38,173
smac    ,septNine,1.1,0,1.65,0.42731,0.88,0,10,-0.96053,0.13,4,1,1,145,66,0,99,53
ssmy    ,FebTen  ,1.83,0,1.22,0.28412,2.04,0.93,2,0.72942,0.07,3,2,1,146,110,0,73,122
ssmy    ,mayTen  ,2.05,0,0,0.30967,1.73,0.25,5,-0.25859,0.17,4,1,1,147,123,0,0,104
ssmy    ,septNine,2.69,0,1.39,0.50493,0.56,0.53,5,-0.15304,0.05,3,2,1,148,161,0,83,34
thom    ,FebTen  ,1.71,0,0.64,0.36084,8.42,0.9,0,1.96333,0.14,4,2,1,149,103,0,38,505
thom    ,janTen  ,0.3,0.99,2.96,0.8983,10.46,0.94,0,2.37933,0.13,5,1,1,150,18,59,178,628
thom    ,octNine ,5.75,6.96,0.5,2.62929,6.76,1,0,1.77472,0.07,5,2,1,151,345,418,30,406
thom    ,septNine,5.27,3.68,0.9,2.26118,4.97,0.9,0,1.33571,0.08,6,0,1,152,316,221,54,298
timy    ,FebTen  ,0.11,0,0,-0.77524,3.5,0.26,4,0.12919,.,1,1,1,153,7,0,0,210
timy    ,mayTen  ,1.81,0.4,0,0.76521,2.62,0.07,3,-0.19577,0.29,6,1,1,154,109,24,0,157
timy    ,octNine ,3.46,1.68,0.56,0.79813,6.73,0.3,2,0.8682,0.05,3,2,1,155,208,101,34,404
timy    ,septNine,3.03,3.68,1.95,1.31911,1.84,0.16,3,-0.23471,0.04,3,2,1,156,182,221,117,110
tmbo    ,septNine,0,0,0.42,-0.7159,0.28,0,6,-0.85915,0,1,0,1,157,0,0,25,17
vgwm    ,octNine ,3.54,7.9,3,2.57933,5.04,0.93,0,1.38228,0.06,4,1,1,158,212,474,180,302
vgwm    ,septNine,4.65,14.66,3.37,4.48674,2.67,0.9,0,0.91687,0.06,6,2,1,159,279,880,202,160
wiam    ,FebTen  ,0,0,0,-1.01805,1.99,0.56,1,0.35287,.,0,0,1,160,0,0,0,119
wimp    ,FebTen  ,1.1,0,1.1,0.09768,5.15,0.51,0,0.92393,0.11,3,1,1,161,66,0,66,309
wimp    ,janTen  ,0.38,0.19,1.04,-0.03746,0.85,0.93,0,0.61964,0.14,3,2,1,162,23,11,62,51
wimp    ,octNine ,1.42,0,0.61,-0.14706,0.51,0.25,4,-0.42775,0.05,2,0,1,163,85,0,37,31
wimp    ,septNine,0,0,0,-1.01805,0.25,0,15,-1.33879,.,0,0,1,164,0,0,0,15
wjmr    ,octNine ,0.1,0.1,0.19,-0.50305,1.45,0,6,-0.64578,0.5,2,0,1,165,6,6,11,87
wjmr    ,septNine,0.18,0.09,1.35,-0.2576,0.99,0,6,-0.7299,0.06,2,1,1,166,11,5,81,59
wmic    ,FebTen  ,0.73,0,0.21,-0.37834,1.97,0.02,4,-0.42236,0.13,2,1,1,167,44,0,13,118
wmic    ,janTen  ,1.15,0,1.57,0.20546,2.62,0,12,-0.74815,0.08,3,2,1,168,69,0,94,157
wmic    ,octNine ,2.9,0.6,2.3,0.61302,1.4,0,12,-0.97146,0.02,2,2,1,169,174,36,138,84
wmic    ,septNine,0.41,0,2.17,-0.05806,0.72,0,15,-1.25211,0.04,2,1,1,170,25,0,130,43
woim    ,septNine,0.54,0.86,1.62,0.44524,2.37,0.42,0,0.31576,0.16,4,1,1,171,32,52,97,142
worm    ,FebTen  ,0.42,0,0,-0.70649,0.42,0.55,0,0.10832,0,1,0,1,172,25,0,0,25
worm    ,janTen  ,0,0,0,-1.01805,0.64,0.79,1,0.36869,.,0,0,1,173,0,0,0,38
worm    ,mayTen  ,0.22,1.54,0.22,-0.22487,6.37,0.98,1,1.62874,0.33,2,0,1,174,13,92,13,382
worm    ,octNine ,0.1,0,0,-0.77689,0,0,30,-2.17433,.,1,1,1,175,6,0,0,0
worm    ,septNine,0,0,0,-1.01805,0.1,0.36,5,-0.4291,.,0,0,1,176,0,0,0,6
wpmr    ,septNine,0,0,0,-1.01805,1.44,0,15,-1.12175,.,0,0,1,177,0,0,0,86
wwxm    ,FebTen  ,0,0,0,-1.01805,1.43,0.14,2,-0.27925,.,0,0,1,178,0,0,0,86
wwxm    ,janTen  ,0.41,0.74,0.9,0.25489,3.12,1,1,1.05927,0.2,4,1,1,179,25,44,54,187
wwxm    ,mayTen  ,1.64,0,0,0.4402,1.44,0.27,1,-0.07741,0.27,5,2,1,180,98,0,0,86
wwxm    ,octNine ,1.7,0,0.1,-0.18676,1.4,0.46,3,0.02603,0.06,2,0,1,181,102,0,6,84
wwxm    ,septNine,1.11,0,0.14,-0.08953,0.14,0.12,5,-0.69548,0.25,3,0,1,182,67,0,8,8
xxbm    ,FebTen  ,1.17,3.13,0.2,0.25063,4.4,0.31,1,0.50702,0.08,2,0,1,183,70,188,12,264
xxbm    ,mayTen  ,0,0,0,-1.01805,1.63,0.68,2,0.37108,.,0,0,1,184,0,0,0,98
yssm    ,FebTen  ,0,0,0,-1.01805,6.29,0.69,0,1.33556,.,0,0,0,185,0,0,0,377
yssm    ,janTen  ,0.2,0,0.92,-0.1327,3.37,0.97,1,1.07097,0.2,3,1,0,186,12,0,55,202
yssm    ,mayTen  ,3.67,0,0,0.8855,6.73,0.72,2,1.3459,0.11,5,1,0,187,220,0,0,404
yssm    ,octNine ,0,0,0,-1.01805,0.2,0.95,0,0.52387,.,0,0,0,188,0,0,0,12
yssm    ,septNine,1.32,0,0.99,0.12747,2.48,0.65,1,0.54496,0.15,3,1,0,189,79,0,59,149
zamb    ,janTen  ,0,0,0,-1.01805,0.13,0,12,-1.20218,.,0,0,1,190,0,0,0,8
zamb    ,mayTen  ,0,0,0,-1.01805,1.21,0,6,-0.6899,.,0,0,1,191,0,0,0,73
zamb    ,octNine ,0.35,0.23,0.7,-0.32557,3.25,0.91,0,1.03234,0.13,2,1,1,192,21,14,42,195
zamb    ,septNine,0.32,0,0.32,-0.66659,0.11,0.26,5,-0.54219,0,1,0,1,193,19,0,19,7
zhmy    ,FebTen  ,0.18,0,0,-0.75915,1.62,0.21,5,-0.3242,.,1,1,0,194,11,0,0,97
zhmy    ,janTen  ,4.77,11.71,1.14,4.00849,6.95,0.88,1,1.61917,0.13,8,2,0,195,286,703,68,417
zhmy    ,mayTen  ,2.97,0,0,0.73098,0.77,0,6,-0.77036,0.13,5,0,0,196,178,0,0,46
zomi    ,septNine,0,0,0,-1.01805,0.7,0,10,-0.99278,.,0,0,1,197,0,0,0,42
zoomSL  ,octNine ,0.61,0,1.22,-0.20271,3.26,0.88,0,1.00134,0.13,2,2,1,198,37,0,73,196
zoomSL  ,septNine,1.2,0,0.33,-0.03131,3.82,0.28,2,0.31482,0.15,3,2,1,199,72,0,20,229
zorm    ,FebTen  ,0.23,0,0.23,-0.70214,0.23,0,7,-0.92047,0,1,0,1,200,14,0,14,14
zorm    ,mayTen  ,0.3,0,0,-0.73193,0.46,0,8,-0.93232,0,1,1,1,201,18,0,0,28
zorm    ,octNine ,0.1,0,4.05,0.0233,0.87,0,10,-0.96271,0,1,1,1,211,6,0,243,52
zorm    ,septNine,0.57,0,1.61,-0.35631,2.74,0.2,0,0.13267,0,1,1,1,203,34,0,97,164
zrma    ,FebTen  ,1.16,0,0.11,-0.52349,1.58,0.15,3,-0.29354,0,1,0,1,204,70,0,7,95
zrma    ,mayTen  ,1.94,0,0,-0.15312,1.46,0,6,-0.64482,0.07,2,0,1,205,116,0,0,88
zrma    ,octNine ,0.21,0,0,-0.75221,1.79,0.31,5,-0.1778,0,1,1,1,206,13,0,0,107
zrma    ,septNine,0,0,1.73,-0.45539,0.77,0,6,-0.76951,0,1,0,1,207,0,0,104,46
zzom    ,FebTen  ,2.29,0,0,-0.07643,2.19,0.11,3,-0.22861,0.05,2,0,1,208,137,0,0,131
zzom    ,janTen  ,7.36,0,0,1.25666,0.6,0,12,-1.11605,0.03,3,1,1,209,442,0,0,36
zzom    ,mayTen  ,5.54,0.81,0,1.87255,6.85,0.56,1,1.23842,0.11,7,0,1,210,332,49,0,411
zzom    ,septNine,2.98,0,0.11,0.09576,1.1,0,8,-0.81456,0.04,2,1,1,211,179,0,7,66
