id,sex,body_mass,trial,activity,exploration,food_neophobia,gregariousness,hemocytes,po,ppo,pair_id,larvae,survival,censoring,mother_body_mass
T40,f,105.5,2,53,11,117.777,14.252,513,3012.258,4697.401,T14,35,45,1,105.5
T80,f,122,2,10,2,300,300,NA,982.389,1556.942,T83,0,14,1,122
T92,f,98.1,2,125,13,15.161,67.565,83,4049.311,4474.527,T67,54,37,1,98.1
T94,f,128.4,2,55,13,62.782,16.939,7,2570.807,2403.383,T68,79,24,1,128.4
T95,f,135.8,2,66,7,79.415,2.948,18,2955.723,4684.954,T69,0,108,0,135.8
T97,f,108.4,2,52,13,35.62,8.767,NA,244.932,342.681,T71,11,67,1,108.4
T98,f,111.7,2,66,4,185.556,26.71,65,3699.348,6828.868,T85,63,99,1,111.7
T100,f,117.7,2,77,9,147.38,69.84,26,1422.11,1722.408,T104,0,49,1,117.7
T102,f,115.9,2,77,10,34.579,20.788,29,1172.2,241.833,T103,124,108,0,115.9
T200,f,136.7,2,14,10,135.865,17.874,47,3203.966,1637.846,T210,1,40,1,136.7
T202,f,118.8,2,50,4,23.167,59.127,14,2907.744,5325.641,T211,46,95,1,118.8
T205,f,124.3,2,33,4,28.432,206.225,11,1346.51,3675.779,T214,65,36,1,124.3
T207,f,191.2,2,154,12,300,8.808,3,1955.132,5746.532,T217,67,45,1,191.2
T221,f,153.1,2,37,22,4.531,27.729,12,4072.585,5467.27,T233,89,56,1,153.1
T222,f,124.1,2,72,8,34.851,12.722,2,2784.766,6922.749,T234,72,37,1,124.1
T224,f,109.6,2,72,11,116.486,21.221,2,53.666,0,T238,38,101,1,109.6
T225,f,159.5,2,47,14,88.328,16.379,6,4675.855,5933.56,T246,83,101,0,159.5
T226,f,180.1,2,62,11,21.071,300,2,973.632,6092.48,T248,55,101,0,180.1
T227,f,156.4,2,115,5,166.704,34.353,29,2966.63,6289.728,T249,79,46,1,156.4
T229,f,124.7,2,61,4,53.687,29.941,147,3490.859,3825.154,T252,41,95,1,124.7
T230,f,161.7,2,124,9,11.659,19.185,93,2773.369,4561.96,T254,23,42,1,161.7
T342,f,116.2,2,35,11,109.665,300,106,2275.291,5490.548,T352,15,75,1,116.2
T344,f,138.4,2,27,6,191.584,1.538,209,1351.843,873.734,T353,65,45,1,138.4
T347,f,127.6,2,56,10,34.129,14.315,77,1167.717,3245.138,T354,55,97,0,127.6
T351,f,144.1,2,85,7,24.405,9.046,4,4112.821,6658.191,T355,83,97,0,144.1
T361,f,128.2,2,56,3,30.642,30,22,2797.07,6933.446,T372,51,52,1,128.2
T362,f,151.2,2,40,0,67.897,25.297,205,2178.928,1277.319,T373,64,60,1,151.2
T364,f,166.9,2,42,5,154.749,55.866,36,1619.099,3086.39,T375,64,49,1,166.9
T366,f,137.2,2,21,5,52.906,26.004,35,2413.551,5665.967,T376,0,94,0,137.2
T368,f,140.8,2,47,0,105.185,45.793,184,6472.743,5913.571,T380,80,94,1,140.8
T370,f,127.4,2,73,4,128.044,32.861,0,2876.843,4566.751,T377,52,46,1,127.4
T411,f,150.2,2,9,0,138.745,300,131,623.41,5873.261,T421,0,13,1,150.2
T412,f,158.9,2,43,24,198.623,53.983,3,2835.513,5439.626,T424,27,32,1,158.9
T414,f,153.2,2,61,9,25.135,38.269,97,4376.594,4427.754,T404,78,90,0,153.2
T418,f,138.6,2,39,7,12.286,2.377,1,2611.474,4182.333,T407,63,45,1,138.6
T430,f,127.7,2,97,8,78.957,4.923,295,0,658.202,T410,99,39,1,127.7
T431,f,162.6,2,42,3,109.57,31.555,299,3101.986,7455.607,T395,32,81,1,162.6
T432,f,164.2,2,14,7,71.897,10.087,52,1266.125,2634.277,T396,93,46,1,164.2
T433,f,115.3,2,49,0,190.908,23.163,35,391.62,541.027,T397,14,36,1,115.3
T434,f,143,2,85,10,111.225,12.146,422,1200.221,1546.498,T398,92,87,0,143
T436,f,120.6,2,54,6,23.757,30.019,99,0,0,T392,2,40,1,120.6
T39,m,124.7,2,27,8,84.315,7.678,NA,NA,NA,T11,51,40,1,98.3
T41,m,110.1,2,43,8,49.741,300,108,3454.644,1045.404,T12,55,35,1,84.5
T42,m,147,2,107,19,17.355,7.892,7,584.25,1009.114,T13,56,35,1,120.1
T46,m,141,2,31,8,143.167,300,255,2518.668,4511.393,T16,47,35,1,128.5
T77,m,141.7,2,86,25,19.316,3.972,112,5470.367,5266.173,T82,82,111,0,139
T78,m,137.1,2,46,17,13.503,15.655,39,2447.282,1731.863,T84,112,111,0,150.6
T81,m,110,2,20,6,26.181,23.856,28,3586.288,4455.401,T75,59,111,0,83.7
T91,m,110,2,87,15,246.459,7.407,58,2481.555,3843.414,T63,91,108,0,102.8
T93,m,122.9,2,138,0,70.024,23.66,14,1595.533,4892.987,T70,82,108,0,99.8
T101,m,120.4,2,58,9,122.768,43.629,20,1611.059,821.384,T62,84,108,0,112.3
T201,m,109.6,2,40,8,300,169.924,56,2952.608,3163.992,T212,127,104,0,137.1
T203,m,110.1,2,51,0,111.631,117.617,3,2004.524,7300.074,T213,92,40,1,104.4
T204,m,119.4,2,42,6,24.309,73.301,4,2934.051,6049.266,T215,103,40,1,116.3
T206,m,139,2,62,5,73.499,57.617,7,2503.988,5878.413,T220,107,59,1,102.7
T208,m,156.8,2,19,12,47.128,35.974,52,2008.303,1711.284,T197,46,104,1,101.7
T209,m,123.9,2,38,4,121.166,119.375,21,1400.599,1589.148,T193,63,31,1,112.3
T223,m,135.1,2,128,8,181.401,23.909,6,4336.385,4982.846,T232,99,65,1,129.7
T231,m,125.8,2,22,8,77.218,91.623,1,1436.075,3382.621,T236,94,101,0,132.7
T343,m,159.9,2,56,11,18.805,20.637,17,15.929,4669.813,T358,95,36,1,119.2
T345,m,149.2,2,60,3,15.988,8.899,15,577.18,830.908,T338,0,17,1,126.6
